prompt_id,technique,prompt
P06,Zero-Shot,Explain the difference between mean and median to a beginner with a simple example.
P07,Zero-Shot,What are some general ways to maintain a healthy daily routine?
P08,Zero-Shot,Explain the difference between saving and investing for a beginner.
P09,Zero-Shot,A customer received a damaged product. Write a polite response explaining the next steps.
P10,Zero-Shot,Explain what a Python function is to a beginner with a simple example.
P11,One-Shot,"Example: Mean is the average of numbers, while median is the middle value after arranging them.
Now explain the difference between mean and median to a beginner with a simple example."
P12,One-Shot,"Example: A healthy routine can include regular sleep, balanced meals, exercise, and enough water.
Now suggest a simple healthy daily routine for a student."
P13,One-Shot,"Example: Saving means keeping money for future needs, while investing means putting money into something that may grow in value.
Now explain the difference between saving and investing for a beginner."
P14,One-Shot,"Example: We are sorry that you received a damaged product. Please share your order details and photos of the damage so we can help with the next steps.
Now write a polite customer-support response to a customer who received a damaged product."
P15,One-Shot,"Example: A Python function is a reusable block of code that performs a specific task.
Now explain what a Python function is to a beginner with a simple example."
P16,Few-Shot,"Example 1: Numbers 2, 4, 6. Mean: 4. Median: 4.
Example 2: Numbers 1, 3, 5. Mean: 3. Median: 3.
Now explain the difference between mean and median to a beginner with a simple example."
P17,Few-Shot,"Example 1: Healthy routine: sleep 8 hours, eat balanced meals, drink enough water, and exercise regularly.
Example 2: Healthy routine: maintain regular sleep, eat nutritious food, stay active, and take breaks.
Now suggest a simple healthy daily routine for a student."
P18,Few-Shot,"Example 1: Saving keeps money safe for future needs. Investing puts money into assets that may grow in value.
Example 2: Saving is useful for short-term goals. Investing is generally used for longer-term growth.
Now explain the difference between saving and investing for a beginner."
P19,Few-Shot,"Example 1: Customer received a damaged phone. Response: Apologize, ask for order details and photos, and explain the replacement process.
Example 2: Customer received a damaged book. Response: Apologize, ask for order details and photos, and explain the return or replacement process.
Now write a polite response to a customer who received a damaged product."
P20,Few-Shot,"Example 1: A Python function is reusable code that performs a specific task.
Example 2: A function can accept inputs and return an output.
Now explain what a Python function is to a beginner with a simple example."
P21,Role Prompting,You are a Teacher. Explain the difference between mean and median to a beginner with a simple example.
P22,Role Prompting,You are a Doctor. Give general advice on maintaining a healthy daily routine for a student.
P23,Role Prompting,You are a Finance Advisor. Explain the difference between saving and investing for a beginner.
P24,Role Prompting,You are a Customer Support Manager. Write a polite response to a customer who received a damaged product and explain the next steps.
P25,Role Prompting,You are an AI Engineer. Explain what a Python function is to a beginner with a simple example.
P26,Chain-of-Thought,"A student has 12 notebooks. They buy 5 more notebooks and give 3 notebooks to a friend.
How many notebooks do they have now?
Explain the steps."
P27,Chain-of-Thought,"A shop has 50 pens. It sells 18 pens in the morning and 12 pens in the evening.
How many pens are left?
Explain the steps."
P28,Chain-of-Thought,"A student studies for 2 hours on Monday, 3 hours on Tuesday, and 4 hours on Wednesday.
How many hours did the student study in total?
Explain the steps."
